Date,Open,High,Low,Close,Volume
2020-09-22,3033.8350,3133.9900,3000.2000,3128.99,6948816
2020-09-21,2906.5000,2962.0000,2871.0000,2960.47,6117925
2020-09-18,3031.7400,3037.8000,2905.5400,2954.91,8892580
2020-09-17,3009.2500,3029.4320,2972.5500,3008.73,6449050
2020-09-16,3179.9900,3187.2380,3074.1500,3078.10,4531189
2020-09-15,3136.1600,3175.0200,3108.9200,3156.13,4021535
2020-09-14,3172.9372,3187.3900,3096.0000,3102.97,4529596
2020-09-11,3208.6900,3217.3409,3083.9800,3116.22,5093982
2020-09-10,3307.2188,3349.8900,3170.5500,3175.11,5330741
2020-09-09,3202.9900,3303.1750,3185.0000,3268.61,5188675
2020-09-08,3144.0000,3250.8450,3130.0000,3149.84,6094205
2020-09-04,3318.0000,3381.5000,3111.1300,3294.62,8781754
2020-09-03,3485.0000,3488.4100,3303.0000,3368.00,8161113
2020-09-02,3547.0000,3552.2500,3486.6850,3531.45,3931476
2020-09-01,3489.5800,3513.8700,3467.0000,3499.12,3476407
2020-08-31,3408.9900,3495.0000,3405.0000,3450.96,4185885
2020-08-28,3423.0000,3433.3699,3386.5000,3401.80,2896978
2020-08-27,3450.0500,3453.0000,3378.0000,3400.00,4264795
2020-08-26,3351.1100,3451.7387,3344.5675,3441.85,6508743
2020-08-25,3294.9900,3357.4000,3267.0000,3346.49,3992842
