name,location,year,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,new_price,price
Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,0,First,26.6 km/kg,998 CC,58.16 bhp,5.0,,1.75
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,0,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,12.5
Honda Jazz V,Chennai,2011,46000,Petrol,0,First,18.2 kmpl,1199 CC,88.7 bhp,5.0,8.61 Lakh,4.5
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,0,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,6.0
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,1,Second,15.2 kmpl,1968 CC,140.8 bhp,5.0,,17.74
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,0,First,21.1 km/kg,814 CC,55.2 bhp,5.0,,2.35
Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,0,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,3.5
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,1,First,11.36 kmpl,2755 CC,171.5 bhp,8.0,21 Lakh,17.5
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,0,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,5.2
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,0,Second,22.3 kmpl,1248 CC,74 bhp,5.0,,1.95
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,0,First,21.56 kmpl,1462 CC,103.25 bhp,5.0,10.65 Lakh,9.95
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,1,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.49
Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,0,First,25.2 kmpl,1248 CC,74 bhp,5.0,,5.6
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,1,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,,27.0
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,1,Second,0.0 kmpl,2179 CC,115 bhp,5.0,,17.5
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,0,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,32.01 Lakh,15.0
Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,0,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,5.4
Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,0,First,28.4 kmpl,1248 CC,74 bhp,5.0,,5.99
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,0,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,6.34
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,1,First,14.84 kmpl,2143 CC,167.62 bhp,5.0,,28.0
BMW 3 Series 320d,Kochi,2014,32982,Diesel,1,First,22.69 kmpl,1995 CC,190 bhp,5.0,47.87 Lakh,18.55
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,0,Second,23.65 kmpl,1248 CC,88.5 bhp,5.0,,8.25
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,1,First,13.53 kmpl,1984 CC,177.01 bhp,5.0,,23.5
Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,0,First,18.5 kmpl,1197 CC,80 bhp,5.0,,1.87
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,1,First,14.4 kmpl,1598 CC,103.6 bhp,5.0,,2.85
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,0,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.25
Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,0,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,4.25
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,0,Second,20.92 kmpl,998 CC,67.1 bhp,5.0,,2.75
Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,0,First,17.5 kmpl,1199 CC,88.7 bhp,5.0,10.57 Lakh,9.9
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,0,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,7.0,,4.0
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,0,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,7.75
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,0,First,14.53 kmpl,1798 CC,138.1 bhp,5.0,,6.75
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,1,Second,11.18 kmpl,2696 CC,184 bhp,7.0,,12.5
Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,1,First,12.4 kmpl,2698 CC,179.5 bhp,5.0,,11.5
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,0,Second,16.09 kmpl,1598 CC,103.5 bhp,5.0,12.33 Lakh,6.98
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,0,Second,14.0 kmpl,1061 CC,64 bhp,5.0,,1.85
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,0,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,11.12 Lakh,8.63
